item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00049,Product 49,BrandB,Active,Y,122,90,17.18,21.14
SKU00050,Product 50,BrandD,Active,N,35,21,13.0,15.79
SKU00051,Product 51,BrandD,Active,Y,284,160,5.79,6.96
SKU00052,Product 52,BrandD,Discontinued,Y,137,68,11.85,15.39
SKU00053,Product 53,BrandD,Active,Y,466,322,19.13,26.75
SKU00054,Product 54,BrandE,Active,Y,164,74,18.32,26.0
SKU00055,Product 55,BrandC,Active,Y,99,67,6.53,8.72
SKU00056,Product 56,BrandA,Active,Y,859,633,16.16,22.71
SKU00057,Product 57,BrandD,Active,Y,392,193,17.09,22.35
SKU00058,Product 58,BrandB,Active,Y,169,126,9.07,12.7
SKU00059,Product 59,BrandD,Active,N,195,81,12.07,14.63
SKU00060,Product 60,BrandB,Active,Y,271,207,15.66,20.63
SKU00061,Product 61,BrandB,Active,Y,320,143,11.59,16.66
SKU00062,Product 62,BrandD,Active,N,64,42,6.69,9.64
SKU00063,Product 63,BrandE,Active,N,704,352,15.59,22.06
SKU00064,Product 64,BrandB,Active,N,471,346,18.67,23.55
SKU00065,Product 65,BrandB,Active,Y,661,400,14.79,18.84
SKU00066,Product 66,BrandD,Discontinued,Y,171,78,16.61,24.9
SKU00067,Product 67,BrandB,Active,Y,271,170,10.38,12.78
SKU00068,Product 68,BrandB,Obsolete,Y,222,125,7.75,9.72
SKU00069,Product 69,BrandD,Active,N,262,174,14.64,18.14
SKU00070,Product 70,BrandD,Active,Y,191,144,9.92,12.88
SKU00071,Product 71,BrandA,Active,Y,249,140,17.9,22.61
SKU00072,Product 72,BrandE,Active,N,273,141,6.84,9.23
SKU00073,Product 73,BrandE,Obsolete,Y,165,67,11.5,15.44
SKU00074,Product 74,BrandB,Active,Y,321,202,10.95,16.1
SKU00075,Product 75,BrandE,Active,Y,280,157,19.07,23.08
SKU00076,Product 76,BrandB,Active,Y,274,151,7.3,9.46
SKU00077,Product 77,BrandA,Active,N,463,219,5.15,7.1
SKU00078,Product 78,BrandD,Active,Y,146,84,8.57,11.84
SKU00079,Product 79,BrandD,Discontinued,Y,48,38,17.3,23.25
SKU00080,Product 80,BrandD,Active,Y,355,184,8.14,11.76
SKU00081,Product 81,BrandE,Active,Y,338,216,8.61,10.49
SKU00082,Product 82,BrandA,Obsolete,N,22,16,6.95,10.04
SKU00083,Product 83,BrandE,Active,N,49,34,15.73,21.21
SKU00084,Product 84,BrandE,Discontinued,Y,485,258,6.04,7.49
SKU00085,Product 85,BrandA,Active,N,121,78,9.97,14.61
SKU00086,Product 86,BrandA,Active,Y,267,200,9.24,12.89
SKU00087,Product 87,BrandA,Active,Y,367,149,13.33,16.65
SKU00088,Product 88,BrandA,Discontinued,Y,367,211,15.96,19.31
SKU00089,Product 89,BrandD,Active,Y,438,214,12.99,16.14
SKU00090,Product 90,BrandC,Active,Y,148,82,18.97,26.23
SKU00091,Product 91,BrandC,Active,Y,308,174,19.27,24.16
SKU00092,Product 92,BrandA,Active,Y,429,300,10.42,13.21
SKU00093,Product 93,BrandC,Active,Y,67,29,16.67,20.13
SKU00094,Product 94,BrandC,Active,Y,342,207,16.08,22.78
SKU00095,Product 95,BrandA,Active,Y,1146,717,18.39,26.54
SKU00096,Product 96,BrandC,Obsolete,Y,219,131,11.72,16.87
SKU00097,Product 97,BrandE,Obsolete,Y,400,277,12.96,16.05
SKU00098,Product 98,BrandB,Active,Y,353,195,11.24,16.53
SKU00099,Product 99,BrandB,Active,Y,147,114,17.76,24.89
SKU00100,Product 100,BrandA,Active,Y,115,68,8.45,12.42
SKU00101,Product 101,BrandD,Active,Y,218,137,8.6,11.47
SKU00102,Product 102,BrandA,Active,Y,239,175,10.59,14.1
SKU00103,Product 103,BrandD,Active,Y,179,91,8.46,12.14
SKU00104,Product 104,BrandB,Active,Y,154,66,13.42,16.48
SKU00105,Product 105,BrandA,Obsolete,Y,152,104,7.02,9.52
SKU00106,Product 106,BrandE,Active,Y,365,217,9.8,14.22
SKU00107,Product 107,BrandC,Active,Y,196,149,18.7,27.1
SKU00108,Product 108,BrandD,Active,Y,138,109,11.14,16.56
SKU00109,Product 109,BrandC,Active,Y,149,83,16.22,22.86
SKU00110,Product 110,BrandC,Active,N,115,65,6.7,8.46
SKU00111,Product 111,BrandA,Active,Y,288,162,8.71,10.5
SKU00112,Product 112,BrandC,Active,Y,124,66,17.11,22.99
SKU00113,Product 113,BrandE,Active,Y,102,73,16.44,22.26
SKU00114,Product 114,BrandC,Active,N,254,179,10.79,13.73
SKU00115,Product 115,BrandA,Active,N,202,119,19.32,23.91
SKU00116,Product 116,BrandE,Active,Y,339,142,18.66,25.67
SKU00117,Product 117,BrandB,Active,Y,269,141,19.43,27.77
SKU00118,Product 118,BrandC,Active,Y,168,87,11.42,17.11
SKU00119,Product 119,BrandA,Active,Y,83,60,7.96,11.36
SKU00120,Product 120,BrandB,Obsolete,Y,211,92,14.4,20.71
SKU00121,Product 121,BrandB,Active,Y,139,100,15.27,21.15
SKU00122,Product 122,BrandD,Active,N,305,204,6.88,10.29
SKU00123,Product 123,BrandE,Active,Y,188,130,16.8,23.39
SKU00124,Product 124,BrandC,Active,Y,221,127,5.27,7.68
SKU00125,Product 125,BrandA,Active,Y,235,158,12.24,18.16
SKU00126,Product 126,BrandD,Active,N,375,241,9.97,14.75
SKU00127,Product 127,BrandE,Discontinued,N,74,52,16.1,21.16
SKU00128,Product 128,BrandD,Obsolete,Y,108,63,9.69,11.86
SKU00129,Product 129,BrandE,Obsolete,Y,134,79,17.4,21.78
SKU00130,Product 130,BrandE,Active,Y,45,30,13.92,16.95
SKU00131,Product 131,BrandC,Active,Y,234,104,16.91,20.83
SKU00132,Product 132,BrandE,Active,Y,548,315,19.84,24.91
SKU00133,Product 133,BrandD,Active,Y,843,665,15.19,19.78
SKU00134,Product 134,BrandE,Active,Y,543,225,19.77,26.95
SKU00135,Product 135,BrandC,Obsolete,Y,149,78,5.43,7.68
SKU00136,Product 136,BrandC,Active,Y,270,142,10.07,12.72
SKU00137,Product 137,BrandD,Discontinued,Y,134,88,6.62,9.28
SKU00138,Product 138,BrandB,Active,Y,242,107,8.93,12.6
SKU00139,Product 139,BrandB,Obsolete,Y,388,253,17.58,24.04
SKU00140,Product 140,BrandE,Active,Y,50,22,5.48,8.06
SKU00141,Product 141,BrandA,Active,Y,571,250,12.8,15.79
SKU00142,Product 142,BrandE,Active,Y,160,111,13.51,16.93
SKU00143,Product 143,BrandD,Active,Y,288,153,13.42,17.83
SKU00144,Product 144,BrandD,Active,Y,354,280,12.13,15.02
SKU00145,Product 145,BrandD,Discontinued,Y,196,81,16.86,23.1
SKU00146,Product 146,BrandD,Active,Y,284,164,7.0,9.24
SKU00147,Product 147,BrandD,Active,N,64,28,9.66,12.42
SKU00148,Product 148,BrandC,Active,Y,162,88,14.24,17.81
SKU00149,Product 149,BrandB,Active,Y,401,321,15.36,19.98
SKU00150,Product 150,BrandD,Active,N,258,195,11.06,15.29
SKU00151,Product 151,BrandA,Active,Y,514,216,18.13,24.89
SKU00152,Product 152,BrandA,Active,N,241,151,11.23,14.03
SKU00153,Product 153,BrandA,Active,Y,290,191,11.04,13.66
SKU00154,Product 154,BrandA,Active,Y,173,84,5.54,6.69
SKU00155,Product 155,BrandC,Active,Y,196,90,13.27,15.97
SKU00156,Product 156,BrandA,Active,Y,335,255,15.63,22.88
SKU00157,Product 157,BrandD,Obsolete,Y,155,122,6.72,8.15
SKU00158,Product 158,BrandE,Active,N,207,165,9.58,13.6
SKU00159,Product 159,BrandA,Active,Y,203,145,16.72,24.44
SKU00160,Product 160,BrandC,Active,Y,84,56,10.49,12.9
SKU00161,Product 161,BrandC,Active,Y,202,109,8.62,11.47
SKU00162,Product 162,BrandA,Obsolete,Y,96,45,15.08,22.45
SKU00163,Product 163,BrandE,Active,Y,152,66,7.95,11.53
SKU00164,Product 164,BrandA,Active,Y,492,333,18.43,24.82
SKU00165,Product 165,BrandC,Active,Y,76,54,6.58,9.4
SKU00166,Product 166,BrandB,Active,Y,142,104,15.6,22.62
SKU00167,Product 167,BrandD,Active,Y,405,310,12.49,16.29
SKU00168,Product 168,BrandC,Active,Y,305,229,18.05,26.49
SKU00169,Product 169,BrandA,Active,Y,115,92,6.89,9.24
SKU00170,Product 170,BrandD,Active,Y,235,117,15.17,20.61
SKU00171,Product 171,BrandA,Active,Y,141,99,13.58,20.37
SKU00172,Product 172,BrandA,Active,N,268,170,12.2,17.73
SKU00173,Product 173,BrandB,Active,Y,368,186,12.37,16.19
SKU00174,Product 174,BrandD,Active,Y,148,117,15.83,19.05
SKU00175,Product 175,BrandD,Active,Y,685,520,19.07,26.47
SKU00176,Product 176,BrandB,Discontinued,Y,233,105,6.37,8.99
SKU00177,Product 177,BrandC,Active,Y,214,88,5.29,7.38
SKU00178,Product 178,BrandA,Active,Y,642,434,17.09,25.47
SKU00179,Product 179,BrandE,Active,Y,241,155,6.62,9.66
SKU00180,Product 180,BrandA,Obsolete,Y,364,282,19.8,26.43
SKU00181,Product 181,BrandA,Active,Y,260,128,14.29,17.42
SKU00182,Product 182,BrandC,Active,N,150,65,14.76,19.82
SKU00183,Product 183,BrandA,Active,Y,330,166,7.98,11.23
SKU00184,Product 184,BrandB,Active,Y,98,40,8.6,11.89
SKU00185,Product 185,BrandB,Obsolete,Y,237,98,14.89,20.27
SKU00186,Product 186,BrandD,Obsolete,Y,141,108,18.65,25.0
SKU00187,Product 187,BrandE,Active,Y,304,164,19.74,25.43
SKU00188,Product 188,BrandA,Active,Y,127,72,7.97,10.23
SKU00189,Product 189,BrandA,Obsolete,Y,129,53,7.01,9.46
SKU00190,Product 190,BrandC,Active,Y,63,32,5.85,7.3
SKU00191,Product 191,BrandB,Active,Y,206,149,18.02,23.47
SKU00192,Product 192,BrandE,Active,N,200,129,9.42,12.22
SKU00193,Product 193,BrandD,Active,Y,166,116,5.03,6.92
SKU00194,Product 194,BrandB,Obsolete,Y,172,100,8.36,10.2
SKU00195,Product 195,BrandD,Obsolete,Y,251,131,10.11,14.65
SKU00196,Product 196,BrandC,Obsolete,Y,455,270,19.86,27.18
SKU00197,Product 197,BrandC,Active,Y,413,219,12.85,18.01
SKU00198,Product 198,BrandA,Obsolete,Y,246,181,8.07,11.39
SKU00199,Product 199,BrandE,Active,Y,226,117,10.02,12.9
SKU00200,Product 200,BrandD,Active,Y,257,171,9.95,13.34
