item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00177,Product 177,BrandC,Active,Y,52,1163.76
SKU00178,Product 178,BrandA,Active,Y,145,1220.2
SKU00179,Product 179,BrandE,Active,Y,58,626.46
SKU00180,Product 180,BrandA,Obsolete,Y,153,3856.33
SKU00181,Product 181,BrandA,Active,Y,100,2929.53
SKU00182,Product 182,BrandC,Active,N,60,902.47
SKU00183,Product 183,BrandA,Active,Y,73,643.71
SKU00184,Product 184,BrandB,Active,Y,33,525.99
SKU00185,Product 185,BrandB,Obsolete,Y,82,687.51
SKU00186,Product 186,BrandD,Obsolete,Y,53,648.31
SKU00187,Product 187,BrandE,Active,Y,56,1375.05
SKU00188,Product 188,BrandA,Active,Y,38,1087.41
SKU00189,Product 189,BrandA,Obsolete,Y,30,297.72
SKU00190,Product 190,BrandC,Active,Y,24,486.57
SKU00191,Product 191,BrandB,Active,Y,46,624.93
SKU00192,Product 192,BrandE,Active,N,61,674.62
SKU00193,Product 193,BrandD,Active,Y,75,961.32
SKU00194,Product 194,BrandB,Obsolete,Y,39,807.72
SKU00195,Product 195,BrandD,Obsolete,Y,88,830.1
SKU00196,Product 196,BrandC,Obsolete,Y,94,1649.96
SKU00197,Product 197,BrandC,Active,Y,167,1832.83
SKU00198,Product 198,BrandA,Obsolete,Y,118,1651.87
SKU00199,Product 199,BrandE,Active,Y,103,1256.25
SKU00200,Product 200,BrandD,Active,Y,100,2742.55
